num;date;time;orig;type;action;alert;i/f_name;i/f_dir;product;sys_message:;service;s_port;src;dst
1;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.120;50.31.164.169
2;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.120;50.31.164.169
3;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.120;50.31.164.169
4;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.85;50.31.164.169
5;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.246;50.31.164.169
6;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.246;50.31.164.169
7;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.224;50.31.164.169
8;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.135;50.31.164.169
9;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.224;50.31.164.169
10;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.232;50.31.164.169
11;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.173;50.31.164.169
12;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.173;50.31.164.169
13;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.221;54.229.15.211
14;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.118;54.229.15.211
15;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.221;54.229.15.211
16;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.238;54.229.15.211
17;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.24;54.229.15.211
18;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.138;54.229.15.211
19;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.238;54.229.15.211
20;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.175;54.229.15.211
21;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.144;54.229.15.211
22;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.175;54.229.15.211
23;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.175;54.229.15.211
24;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.12;54.229.15.211
25;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.217;54.229.15.211
26;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.12;54.229.15.211
27;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.88;54.229.15.211
28;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.232;54.229.15.211
29;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.112;31.186.243.52
30;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.113;31.186.243.52
31;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.34;31.186.243.52
32;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.176;31.186.243.52
33;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.75;31.186.243.52
34;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.244;31.186.243.52
35;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.64;31.186.243.52
36;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.64;31.186.243.52
37;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.233;31.186.243.52
38;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.29;31.186.243.52
39;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.233;31.186.243.52
40;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.233;31.186.243.52
41;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.80;31.186.243.52
42;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.123;31.186.243.52
43;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.177;31.186.243.52
44;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.177;31.186.243.52
45;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.149;31.186.243.52
46;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.234;44.230.209.108
47;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.189;44.230.209.108
48;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.78;44.230.209.108
49;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.189;44.230.209.108
50;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.77;44.230.209.108
51;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.75;44.230.209.108
52;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.123;44.230.209.108
53;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.70;44.230.209.108
54;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.234;44.230.209.108
55;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.207;44.230.209.108
56;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.66;44.230.209.108
57;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.207;44.230.209.108
